date,year,quarter,rank,movie_cd,movie_nm,screen_count,show_count,audience_cnt,audience_acc,screen_share
2020-01-01,2020,2020Q1,1,20192206,백두산,1236,5845,498802,6789304,21.244413887933998
2020-01-01,2020,2020Q1,2,20184571,천문: 하늘에 묻는다,929,3439,239149,1204773,15.967686490202817
2020-01-01,2020,2020Q1,3,20198414,시동,801,2997,190455,2716441,13.767617738054314
2020-01-01,2020,2020Q1,4,20196272,미드웨이,810,2614,174407,307780,13.922310072189756
2020-01-01,2020,2020Q1,5,20197803,겨울왕국 2,665,1459,83529,13452593,11.430044688896528
2020-01-01,2020,2020Q1,6,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,539,900,46436,718558,9.264352011000344
2020-01-01,2020,2020Q1,7,20192401,포드 V 페라리,195,378,24650,1233057,3.3516672396012375
2020-01-01,2020,2020Q1,8,20191408,21 브릿지: 테러 셧다운 ,228,860,23488,23639,3.9188724647645237
2020-01-01,2020,2020Q1,9,20198430,나이브스 아웃,144,272,14532,681943,2.4750773461670676
2020-01-01,2020,2020Q1,10,20199981,눈의 여왕4,271,321,14465,158318,4.6579580611894125
2020-01-02,2020,2020Q1,1,20192206,백두산,1241,5536,125013,6914317,23.024118738404454
2020-01-02,2020,2020Q1,2,20184571,천문: 하늘에 묻는다,904,3341,63427,1268200,16.771799628942485
2020-01-02,2020,2020Q1,3,20198414,시동,779,2859,57175,2773616,14.452690166975882
2020-01-02,2020,2020Q1,4,20196272,미드웨이,797,2693,55793,363573,14.786641929499073
2020-01-02,2020,2020Q1,5,20197803,겨울왕국 2,596,1253,28801,13481394,11.057513914656772
2020-01-02,2020,2020Q1,6,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,456,685,17328,735886,8.460111317254174
2020-01-02,2020,2020Q1,7,20191408,21 브릿지: 테러 셧다운 ,228,823,8560,32199,4.230055658627087
2020-01-02,2020,2020Q1,8,20192401,포드 V 페라리,198,387,8516,1241573,3.6734693877551026
2020-01-02,2020,2020Q1,9,20183002,해치지않아,44,44,7589,22626,0.8163265306122449
2020-01-02,2020,2020Q1,10,20198430,나이브스 아웃,147,279,6599,688542,2.727272727272727
2020-01-03,2020,2020Q1,1,20192206,백두산,1193,5565,118696,7033013,21.518759018759017
2020-01-03,2020,2020Q1,2,20184571,천문: 하늘에 묻는다,897,3413,68227,1336427,16.17965367965368
2020-01-03,2020,2020Q1,3,20196272,미드웨이,816,2858,60808,424381,14.71861471861472
2020-01-03,2020,2020Q1,4,20198414,시동,774,2870,57987,2831603,13.96103896103896
2020-01-03,2020,2020Q1,5,20197803,겨울왕국 2,609,1255,26833,13508227,10.984848484848484
2020-01-03,2020,2020Q1,6,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,456,673,15749,751635,8.225108225108226
2020-01-03,2020,2020Q1,7,20192401,포드 V 페라리,200,397,10056,1251629,3.6075036075036073
2020-01-03,2020,2020Q1,8,20191408,21 브릿지: 테러 셧다운 ,225,803,8445,40644,4.058441558441558
2020-01-03,2020,2020Q1,9,20198430,나이브스 아웃,155,290,7431,695973,2.795815295815296
