movie_count,threshold,tier,start_date,end_date,days,max_share,avg_share,representative_movies,representative_movie_labels
3,60% 이상,500만미만,2020-01-20,2020-01-20,1,60.10917488977535,60.10917488977535,해치지않아 / 닥터 두리틀 / 나쁜 녀석들: 포에버,"해치지않아 (<5M, 1,222,140명) / 닥터 두리틀 (<5M, 1,604,127명) / 나쁜 녀석들: 포에버 (<5M, 546,121명)"
3,60% 이상,500만미만,2020-01-25,2020-02-07,14,65.89380941340134,62.78003386156793,남산의 부장들 / 히트맨 / 미스터 주: 사라진 VIP,"남산의 부장들 (<5M, 4,748,387명) / 히트맨 (<5M, 2,404,799명) / 미스터 주: 사라진 VIP (<5M, 596,669명)"
3,60% 이상,500만미만,2020-02-10,2020-02-11,2,61.146067415730336,60.8539570528129,클로젯 / 버즈 오브 프레이(할리 퀸의 황홀한 해방) / 남산의 부장들,"클로젯 (<5M, 1,266,654명) / 버즈 오브 프레이(할리 퀸의 황홀한 해방) (<5M, 394,616명) / 남산의 부장들 (<5M, 4,748,387명)"
3,60% 이상,500만미만,2020-02-24,2020-02-25,2,65.4573326520184,63.866026287041834,지푸라기라도 잡고 싶은 짐승들 / 정직한 후보 / 1917,"지푸라기라도 잡고 싶은 짐승들 (<5M, 626,747명) / 정직한 후보 (<5M, 1,531,010명) / 1917 (<5M, 860,622명)"
3,60% 이상,500만미만,2020-06-04,2020-06-07,4,66.08169440242057,64.24754816011533,침입자 / 위대한 쇼맨 / 언더워터,"침입자 (<5M, 530,659명) / 위대한 쇼맨 (<5M, 1,735,819명) / 언더워터 (<5M, 105,265명)"
3,70% 이상,500만미만,2020-06-08,2020-06-09,2,71.70212765957447,71.11719001942419,침입자 / 위대한 쇼맨 / 언더워터,"침입자 (<5M, 530,659명) / 위대한 쇼맨 (<5M, 1,735,819명) / 언더워터 (<5M, 105,265명)"
3,60% 이상,500만미만,2020-06-10,2020-07-07,28,69.31644463856738,65.18601184322993,#살아있다 / 온워드: 단 하루의 기적 / 결백,"#살아있다 (<5M, 1,903,703명) / 온워드: 단 하루의 기적 (<5M, 415,524명) / 결백 (<5M, 894,025명)"
3,60% 이상,500만미만,2020-07-10,2020-07-10,1,60.27503892060197,60.27503892060197,#살아있다 / 밤쉘: 세상을 바꾼 폭탄선언 / 결백,"#살아있다 (<5M, 1,903,703명) / 밤쉘: 세상을 바꾼 폭탄선언 (<5M, 181,559명) / 결백 (<5M, 894,025명)"
3,60% 이상,500만미만,2020-07-13,2020-07-14,2,61.191489361702125,61.02253948017271,#살아있다 / 밤쉘: 세상을 바꾼 폭탄선언 / 결백,"#살아있다 (<5M, 1,903,703명) / 밤쉘: 세상을 바꾼 폭탄선언 (<5M, 181,559명) / 결백 (<5M, 894,025명)"
3,70% 이상,500만미만,2020-07-15,2020-07-21,7,86.03115922894112,82.41216594666935,반도 / #살아있다 / 밤쉘: 세상을 바꾼 폭탄선언,"반도 (<5M, 3,810,397명) / #살아있다 (<5M, 1,903,703명) / 밤쉘: 세상을 바꾼 폭탄선언 (<5M, 181,559명)"
