quarter,movie_nm,movie_cd,screen_count,show_count,audience_acc_max,active_days,quarter_screen_share,quarter_rank,audience_tier
2020Q1,남산의 부장들,20180939,29791,138381,4748387,30,7.518593951508085,1,500만미만
2020Q1,정직한 후보,20193321,25511,87383,1531010,50,6.438415974519914,2,500만미만
2020Q1,1917,20192399,24006,69529,714927,42,6.058587036350008,3,500만미만
2020Q1,히트맨,20192101,21387,87505,2404799,30,5.39760897052477,4,500만미만
2020Q1,작은 아씨들,20192240,21215,57082,850030,44,5.3541999490196375,5,500만미만
2020Q1,인비저블맨,20199842,20162,56527,543009,35,5.088445881316707,6,500만미만
2020Q1,지푸라기라도 잡고 싶은 짐승들,20180962,19394,63191,620398,38,4.8946195527356515,7,500만미만
2020Q1,백두산,20192206,19178,73014,8242478,25,4.84010589782223,8,500만+
2020Q1,닥터 두리틀,20199581,17554,67323,1604127,23,4.430243973843541,9,500만미만
2020Q1,클로젯,20182447,17140,70588,1266654,28,4.325759468592816,10,500만미만
2020Q2,결백,20183813,17391,57383,742916,23,6.57778282083286,1,500만미만
2020Q2,침입자,20197863,17264,53061,530659,26,6.5297477211694845,2,500만미만
2020Q2,프리즌 이스케이프,20207893,14702,28578,213731,39,5.560724687015394,3,500만미만
2020Q2,위대한 쇼맨,20179462,14406,29457,1685574,41,5.448768864177919,4,500만미만
2020Q2,1917,20192399,12194,19987,860622,42,4.612126025946519,5,500만미만
2020Q2,#살아있다,20193069,12060,54912,1194944,9,4.561443322364688,6,500만미만
2020Q2,온워드: 단 하루의 기적,20191048,10840,32205,296920,15,4.100003782291313,7,500만미만
2020Q2,라라랜드,20167904,8468,13984,3729860,42,3.202844283066682,8,500만미만
2020Q2,사라진 시간,20193859,7685,20389,184399,13,2.906690873331064,9,500만미만
2020Q2,패왕별희 디 오리지널,20173226,7615,9757,90898,27,2.8802148341465257,10,500만미만
2020Q3,테넷,20201122,48402,146781,1735384,38,12.557531353614811,1,500만미만
2020Q3,반도,20193450,47545,198760,3810397,46,12.335189211346972,2,500만미만
2020Q3,다만 악에서 구하소서,20197922,45937,193492,4353414,52,11.918005821887599,3,500만미만
2020Q3,강철비2: 정상회담,20196271,29750,106526,1790797,43,7.718411589811177,4,500만미만
2020Q3,#살아있다,20193069,22830,81915,1903703,34,5.92307013766014,5,500만미만
2020Q3,오케이 마담,20199883,22432,82063,1228551,34,5.819812059920818,6,500만미만
2020Q3,오! 문희,20193666,18133,51305,324384,29,4.704469154892306,7,500만미만
2020Q3,뮬란,20193822,12070,37648,226101,12,3.1314698450091063,8,500만미만
2020Q3,밤쉘: 세상을 바꾼 폭탄선언,20204644,10924,26782,181559,31,2.8341488472973886,9,500만미만
2020Q3,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,20202281,8319,12503,120580,27,2.1583013786769474,10,500만미만
2020Q4,도굴,20192193,43842,133274,1523514,59,12.311260751503033,1,500만미만
2020Q4,삼진그룹 영어토익반,20197121,41367,138107,1566916,52,11.6162566376403,2,500만미만
2020Q4,담보,20199816,32594,100713,1715630,43,9.152712762522007,3,500만미만
2020Q4,이웃사촌,20181983,26224,65256,423701,42,7.363954699772263,4,500만미만
2020Q4,원더 우먼 1984,20192567,18872,45346,390986,9,5.2994414694212235,5,500만미만
2020Q4,런,20200294,17868,38737,277525,43,5.0175084874744815,6,500만미만
2020Q4,조제,20201002,17586,38291,186647,23,4.938320139955576,7,500만미만
2020Q4,소리도 없이,20194424,13666,39874,398025,20,3.837545947494194,8,500만미만
2020Q4,내가 죽던 날,20190582,10964,28857,231047,22,3.0787980219761706,9,500만미만
2020Q4,테넷,20201122,10582,17223,1986083,44,2.971528700159781,10,500만미만
2021Q1,소울,20207443,57803,159253,2037876,70,17.32220933612632,1,500만미만
2021Q1,극장판 귀멸의 칼날: 무한열차편,20200703,39088,95550,1513272,67,11.713760852040648,2,500만미만
2021Q1,미나리,20205144,26213,78530,843183,29,7.85542399750669,3,500만미만
2021Q1,원더 우먼 1984,20192567,21638,38050,548695,27,6.484403328808217,4,500만미만
2021Q1,미션 파서블,20199541,16459,43727,444052,30,4.932377964176653,5,500만미만
2021Q1,라야와 마지막 드래곤,20200263,15171,32043,303890,28,4.54639444039881,6,500만미만
2021Q1,화양연화,20040725,8539,12274,100711,27,2.5589389049215896,7,500만미만
2021Q1,새해전야,20190323,8331,21070,166671,15,2.4966061619512545,8,500만미만
2021Q1,톰과 제리,20202555,8256,16860,132625,15,2.4741304132840662,9,500만미만
2021Q1,고질라 VS. 콩,20215850,8044,26729,400880,7,2.410598963718148,10,500만미만
2021Q2,분노의 질주: 더 얼티메이트,20205041,43065,131093,2279129,42,10.743447033671034,1,500만미만
2021Q2,크루엘라,20216362,32741,94014,1531970,37,8.167913603376832,2,500만미만
2021Q2,극장판 귀멸의 칼날: 무한열차편,20200703,32317,55558,2145702,88,8.062138111857582,3,500만미만
2021Q2,미나리,20205144,21360,33545,1128307,55,5.328689855781104,4,500만미만
2021Q2,자산어보,20197434,18748,45188,333427,29,4.6770729127427035,5,500만미만
2021Q2,컨저링3: 악마가 시켰다,20217736,18324,49769,770938,28,4.571297421223453,6,500만미만
2021Q2,비와 당신의 이야기,20193068,17169,43869,398407,33,4.283158995033042,7,500만미만
2021Q2,서복,20183003,16051,49515,385409,19,4.004250977300679,8,500만미만
2021Q2,내일의 기억,20194501,15754,40519,332094,30,3.930158239137431,9,500만미만
2021Q2,고질라 VS. 콩,20215850,14595,34750,698632,25,3.6410219309515552,10,500만미만
2021Q3,모가디슈,20204117,62788,205720,3574451,68,13.52061965558898,1,500만미만
2021Q3,블랙 위도우,20191951,46046,154426,2957005,46,9.91543690930194,2,500만미만
2021Q3,인질,20192194,35227,109645,1626970,47,7.585698996741942,3,500만미만
2021Q3,싱크홀,20196270,35024,120457,2185815,39,7.541985456095886,4,500만미만
2021Q3,샹치와 텐 링즈의 전설,20217742,34137,111514,1686426,31,7.350980970612872,5,500만미만
2021Q3,보스 베이비 2,20218391,22535,58211,919925,33,4.852633686989515,6,500만미만
2021Q3,보이스,20190815,19273,72779,1029282,21,4.150202309711512,7,500만미만
2021Q3,랑종,20218364,17048,51493,829064,29,3.671076063714101,8,500만미만
2021Q3,기적,20200474,16250,52103,487613,19,3.4992366280709843,9,500만미만
2021Q3,크루엘라,20216362,13924,28309,1978688,35,2.9983612805698696,10,500만미만
2021Q4,이터널스,20218256,48675,161851,3048616,41,11.048112344605775,1,500만미만
2021Q4,듄,20210087,41315,103744,1549346,58,9.377560585873397,2,500만미만
2021Q4,스파이더맨: 노 웨이 홈,20210028,41283,144751,5560940,17,9.370297317357169,3,500만+
2021Q4,베놈 2: 렛 데어 비 카니지,20218052,38939,150728,2121625,37,8.838262898543487,4,500만미만
2021Q4,007 노 타임 투 다이,20191061,32039,87080,1222296,33,7.272120624731883,5,500만미만
2021Q4,유체이탈자,20196264,24449,83499,810317,33,5.549364123539118,6,500만미만
2021Q4,연애 빠진 로맨스,20205986,22919,66598,603015,39,5.20208909760698,7,500만미만
2021Q4,엔칸토: 마법의 세계,20210864,20675,52157,620095,38,4.6927523929065105,8,500만미만
2021Q4,보이스,20190815,18692,45023,1421580,39,4.242656722041524,9,500만미만
2021Q4,장르만 로맨스,20191243,15388,48232,518361,30,3.4927242477410103,10,500만미만
2022Q1,스파이더맨: 노 웨이 홈,20210028,49385,130039,7545831,70,11.58483661357292,1,500만+
2022Q1,더 배트맨,20212973,37748,94194,884123,32,8.855004808932886,2,500만미만
2022Q1,해적: 도깨비 깃발,20201965,35335,116755,1331598,47,8.288958220929414,3,500만미만
2022Q1,씽2게더,20218764,31422,70516,877349,50,7.371038494921297,4,500만미만
2022Q1,킹메이커,20188441,26387,79356,780819,42,6.1899176616857075,5,500만미만
2022Q1,언차티드,20211200,26159,76679,730046,35,6.136432944709001,6,500만미만
2022Q1,극장판 주술회전 0,20223278,23813,58103,551219,45,5.586103356869736,7,500만미만
2022Q1,이상한 나라의 수학자,20190299,20302,65703,487690,28,4.7624856318468645,8,500만미만
2022Q1,경관의 피,20199882,18364,56349,681379,27,4.307865537544863,9,500만미만
2022Q1,특송,20192354,14972,47290,439188,29,3.5121630814703604,10,500만미만
2022Q2,범죄도시2,20204548,71185,334204,12216602,48,16.844812857761486,1,1000만+
2022Q2,닥터 스트레인지: 대혼돈의 멀티버스,20212855,48993,210811,5882489,47,11.59342440598874,2,500만+
2022Q2,신비한 동물들과 덤블도어의 비밀,20212725,35129,105700,1195322,39,8.312726429448666,3,500만미만
2022Q2,쥬라기 월드: 도미니언,20206061,24622,85859,2822567,30,5.82640980801859,4,500만미만
2022Q2,마녀(魔女) Part2. The Other One,20224882,20167,77266,2425318,17,4.772203988234542,5,500만미만
2022Q2,브로커,20206257,18929,64836,1235999,25,4.479250721143038,6,500만미만
2022Q2,모비우스,20204431,17833,56197,475928,22,4.219899525074954,7,500만미만
2022Q2,탑건: 매버릭,20194376,16538,72578,2183766,15,3.913458102713486,8,500만+
2022Q2,니 부모 얼굴이 보고 싶다,20178501,13637,38434,416053,32,3.2269819897632,9,500만미만
2022Q2,수퍼 소닉2,20212618,12952,26347,313089,29,3.0648874922206475,10,500만미만
2022Q3,탑건: 매버릭,20194376,56594,175178,8156312,78,11.441660550996602,1,500만+
2022Q3,한산: 용의 출현,20209343,56026,216524,7252467,58,11.32682747340947,2,500만+
2022Q3,헌트,20211792,45697,170182,4346803,53,9.2386041311604,3,500만미만
2022Q3,공조2: 인터내셔날,20215601,45168,198245,5838864,28,9.131655719111823,4,500만+
2022Q3,육사오(6/45),20217826,31977,104239,1951111,42,6.46481922887971,5,500만미만
2022Q3,미니언즈2,20205362,28983,77900,2263349,43,5.859519520612335,6,500만미만
2022Q3,헤어질 결심,20209654,27788,65795,1863289,57,5.617925281674622,7,500만미만
2022Q3,토르: 러브 앤 썬더,20224662,26515,107333,2711862,29,5.360561711659803,8,500만미만
2022Q3,비상선언,20196410,21714,71668,2052396,31,4.389939166772806,9,500만미만
