movie_nm,analysis_scope,observed_days,seat_data_days,over_30_period_start,over_30_period_end,over_30_period_days_in_data,peak_screen_share_date,peak_SS_screen_share_pct,peak_seat_share_pct,peak_audience_share_pct,peak_show_share_pct,peak_top10_audience_share_pct,peak_seat_sales_rate_pct,peak_ScEI_screen_efficiency,peak_ShOI_show_overallocation,peak_MII_pct,max_MII_date,max_MII_pct,mean_SS_screen_share_pct,mean_show_share_pct,mean_top10_audience_share_pct,mean_seat_share_pct,mean_audience_share_pct,mean_seat_sales_rate_pct,mean_SOI_seat_overallocation,mean_ScOI_screen_overallocation,mean_ShOI_show_overallocation,mean_StEI_seat_efficiency,mean_ScEI_screen_efficiency,mean_MII_pct,max_screen_minus_audience_share_p,mean_screen_minus_audience_share_p,interpretation
공조2: 인터내셔날,over_30_period,68,22,2022-09-07,2022-09-27,21,2022-09-19,52.85966238347191,72.2345609010706,74.8664214320217,71.31324004305705,78.37682241827319,6.7,1.4163242452988278,0.909876642644174,49.318065003779296,2022-09-20,49.53991512730903,41.70823221176655,58.118303776106394,69.16844067332184,60.93600864700499,67.38157579172092,17.195238095238096,0.9143960198043317,0.6379055528794402,0.8495260536104293,1.1029945651951503,1.617095593081275,34.714897146443356,-0.5520592421415387,-25.67334357995437,좌석 판매율을 함께 점검할 고비효율 구간
미션 임파서블: 데드 레코닝 PART ONE,over_30_period,46,8,2023-07-12,2023-07-19,8,2023-07-13,47.12328767123288,69.62942460485709,66.65574535878545,62.2955197970221,64.88462581128705,11.1,1.414496921857947,0.9600967720489718,41.89260273972603,2023-07-13,41.89260273972603,43.423637044343536,56.16228408539138,57.58536805165542,63.5339732536855,59.25531465490809,17.3625,1.0954625283318045,0.755490488314882,0.9949761843556515,0.9234582310931665,1.353294014131105,35.95451394067998,1.9944433693095718,-15.831677610564554,좌석 판매율을 함께 점검할 고비효율 구간
범죄도시4,over_30_period,72,34,2024-04-24,2024-05-14,21,2024-04-24,62.18166383701188,87.91735618661303,97.38686532907809,84.4731878199946,97.15466385342107,35.7,1.566166926384355,0.8694712581934386,39.98280984719864,2024-04-29,51.92186234817814,50.644546577508315,72.50026770825265,80.63768352961006,76.08140398942422,82.23812846735649,22.238095238095237,0.9279624250034963,0.6148962363638352,0.9036458480700924,1.0790538634560212,1.6298813518970154,38.954216397504396,-22.32806887314571,-31.593581889848185,좌석 판매율을 함께 점검할 고비효율 구간
베테랑2,over_30_period,51,18,2024-09-13,2024-09-30,18,2024-09-20,55.83802024746907,77.6129985939021,85.97907171132525,78.43868647172451,85.09433594131075,12.5,1.539794414814024,0.9217850471954253,48.85826771653543,2024-09-23,52.039573346116974,48.696693407239025,70.48453766690096,78.6365498456377,71.18715653257715,78.49711526634539,19.605555555555558,0.9099890609153118,0.6235735400489671,0.8986096725359857,1.1008881965052792,1.6106529056374035,39.01988145415635,-19.566717378065405,-29.80042185910636,좌석 판매율을 함께 점검할 고비효율 구간
블랙 팬서: 와칸다 포에버,over_30_period,33,8,2022-11-09,2022-11-16,8,2022-11-10,55.183727034120736,77.07149885798115,75.58993201255367,72.64996552516662,77.42337847469707,7.2,1.3697866395616147,0.9383466203158461,51.21049868766404,2022-11-10,51.21049868766404,48.73061117009587,65.66085480618258,72.13128575431452,71.47493581947191,72.3716525073095,10.9,1.0152092751524622,0.7050078674132192,0.9282660737114301,0.9972009953183791,1.4612844758443648,43.40225235493217,0.8632687234485736,-23.641041337213647,좌석 판매율을 함께 점검할 고비효율 구간
서울의 봄,over_30_period,84,28,2023-11-22,2023-12-19,28,2023-11-22,48.94977168949772,71.0345041073215,80.13974410393124,68.69116804452811,80.45895789004118,15.6,1.6371832051082964,0.853741706901108,41.31360730593608,2023-11-22,41.31360730593608,41.80447234596079,58.93444707818274,78.11988741632035,64.8222678414414,79.40763126128573,24.52142857142857,0.8165320273459914,0.5268345293750164,0.7548648041452342,1.2267568181763815,1.9067980213614768,31.59953958040847,-25.43095374546995,-37.60315891532496,좌석 판매율을 함께 점검할 고비효율 구간
아바타: 물의 길,over_30_period,79,21,2022-12-14,2023-01-03,21,2022-12-19,56.8177028451001,80.59078278308911,85.04488111006803,72.93865687624293,81.0378526088768,17.9,1.4968025254720803,0.9000566343764804,46.64733403582718,2022-12-19,46.64733403582718,43.67437113853011,56.14898646447233,66.61738217586941,63.729194004484974,69.48610824122167,29.12857142857143,0.9159167686658527,0.6269585395019502,0.8384372926641642,1.0946635551125379,1.605530588757473,31.168005390251135,-16.712632795083657,-25.81173710269156,좌석 판매율을 함께 점검할 고비효율 구간
아바타: 불과 재,over_30_period,15,14,2025-12-17,2025-12-30,14,2025-12-17,51.47527910685805,67.21962635789991,69.67037935684675,63.40418905240208,70.0334271407243,22.9,1.3534725904490448,0.905341800923129,39.68744019138756,2025-12-18,42.27516378796903,41.735759663304286,49.56896682805188,58.61635308654412,53.440180013937535,58.041339268913916,30.857142857142858,0.9169261575543656,0.7171625247453839,0.8413910172287505,1.0985728170277007,1.4037054230673838,29.318038935051412,-10.567306802031084,-16.305579605609633,좌석 판매율을 함께 점검할 고비효율 구간
야당,over_30_period,53,14,2025-04-16,2025-04-29,14,2025-04-24,47.15359828141783,62.73002429005634,67.68074315112072,61.88361131254533,66.68607098397801,7.6,1.4353250996285511,0.9279840662289653,43.569924812030074,2025-04-24,43.569924812030074,42.00895604835731,56.72606014515977,68.17378851034557,58.80472875115258,68.51370531214077,11.914285714285713,0.8627504607097813,0.620607184543907,0.8390261245720522,1.1617913893820404,1.6263439438424891,37.10984530686106,-12.358403772066012,-26.50474926378346,좌석 판매율을 함께 점검할 고비효율 구간
인사이드 아웃 2,over_30_period,70,21,2024-06-12,2024-07-02,21,2024-06-22,50.74752579490419,69.18988675922633,73.66140956624244,66.24299647229715,73.22923129276265,35.3,1.4515271121580304,0.9045977310271731,32.83364918930301,2024-06-20,39.580138277812694,39.65377946524866,56.85555181488369,64.1168889350063,60.68685043628521,63.375545063291085,17.32,0.9723834718187107,0.6407838555722083,0.8914913699949241,1.0346596125042644,1.590548176603249,32.28854219835584,-7.4912974477686305,-23.97341487579561,좌석 판매율을 함께 점검할 고비효율 구간
