movie_nm,threshold,tier,start_date,end_date,days,max_share,avg_share
침입자,40% 이상,500만미만,2020-06-08,2020-06-09,2,43.652482269503544,43.39832432121635
#살아있다,40% 이상,500만미만,2020-06-24,2020-06-25,2,40.62576387191395,40.51278321927386
#살아있다,40% 이상,500만미만,2020-06-27,2020-06-30,4,41.37931034482759,40.88869564652261
반도,50% 이상,500만미만,2020-07-15,2020-07-21,7,61.737523105360445,59.67562298372102
반도,40% 이상,500만미만,2020-07-22,2020-07-28,7,49.560269011898605,47.89485883488862
강철비2: 정상회담,50% 이상,500만미만,2020-07-29,2020-07-30,2,52.50699923644694,51.70003450748281
강철비2: 정상회담,40% 이상,500만미만,2020-07-31,2020-08-04,5,49.7383444338725,48.247567881258966
다만 악에서 구하소서,40% 이상,500만미만,2020-08-05,2020-08-11,7,43.36448598130841,42.50754212637431
테넷,50% 이상,500만미만,2020-08-26,2020-09-01,7,51.985731272294885,51.68783125340283
삼진그룹 영어토익반,40% 이상,500만미만,2020-10-21,2020-10-27,7,44.23667317890037,41.85360448488375
도굴,40% 이상,500만미만,2020-11-04,2020-11-11,8,45.667870036101085,43.74562861701767
원더 우먼 1984,50% 이상,500만미만,2020-12-23,2020-12-24,2,57.78894472361809,54.87019820664483
원더 우먼 1984,40% 이상,500만미만,2020-12-25,2020-12-26,2,48.26546003016591,47.615689283578384
원더 우먼 1984,50% 이상,500만미만,2020-12-27,2020-12-27,1,50.01121327651939,50.01121327651939
원더 우먼 1984,40% 이상,500만미만,2020-12-28,2021-01-05,9,48.66666666666667,45.89895080606179
소울,50% 이상,500만미만,2021-01-20,2021-01-26,7,60.60283687943262,57.744529324807125
소울,40% 이상,500만미만,2021-01-27,2021-01-27,1,41.73006480698788,41.73006480698788
소울,40% 이상,500만미만,2021-01-30,2021-02-02,4,41.97240974464338,41.565472366624775
분노의 질주: 더 얼티메이트,40% 이상,500만미만,2021-05-19,2021-05-19,1,45.07741167129814,45.07741167129814
분노의 질주: 더 얼티메이트,50% 이상,500만미만,2021-05-20,2021-05-21,2,52.55383074611918,51.36402338699688
분노의 질주: 더 얼티메이트,40% 이상,500만미만,2021-05-22,2021-05-23,2,47.635835752799665,47.24254720094679
분노의 질주: 더 얼티메이트,50% 이상,500만미만,2021-05-24,2021-05-25,2,52.80927835051546,52.60494893261447
블랙 위도우,50% 이상,500만미만,2021-07-08,2021-07-10,3,54.2031523642732,53.16177047871681
블랙 위도우,40% 이상,500만미만,2021-07-11,2021-07-11,1,48.31916537867079,48.31916537867079
블랙 위도우,50% 이상,500만미만,2021-07-12,2021-07-13,2,55.23311132254995,54.334112913183375
007 노 타임 투 다이,40% 이상,500만미만,2021-09-30,2021-10-01,2,42.79809878073982,42.251469227055836
007 노 타임 투 다이,40% 이상,500만미만,2021-10-05,2021-10-05,1,43.782209276271566,43.782209276271566
베놈 2: 렛 데어 비 카니지,40% 이상,500만미만,2021-10-13,2021-10-19,7,48.16450455423682,44.95965988306697
이터널스,50% 이상,500만미만,2021-11-03,2021-11-09,7,57.91956863626151,54.816137895236956
이터널스,40% 이상,500만미만,2021-11-10,2021-11-11,2,41.722426073818255,41.24500834607757
이터널스,40% 이상,500만미만,2021-11-15,2021-11-16,2,41.40292867264998,41.29798852608544
스파이더맨: 노 웨이 홈,50% 이상,500만+,2021-12-15,2021-12-21,7,65.56647940074907,63.337470891876066
스파이더맨: 노 웨이 홈,40% 이상,500만+,2021-12-22,2022-01-04,14,48.53007688828585,45.24780220306387
더 배트맨,40% 이상,500만미만,2022-03-01,2022-03-08,8,49.75347377857463,46.79606118846088
모비우스,40% 이상,500만미만,2022-04-04,2022-04-04,1,40.58774604934849,40.58774604934849
신비한 동물들과 덤블도어의 비밀,40% 이상,500만미만,2022-04-13,2022-04-19,7,46.725750861644514,44.00013903259005
닥터 스트레인지: 대혼돈의 멀티버스,50% 이상,500만+,2022-05-04,2022-05-04,1,56.976497988566585,56.976497988566585
닥터 스트레인지: 대혼돈의 멀티버스,40% 이상,500만+,2022-05-05,2022-05-08,4,48.819921947593386,47.91704515552127
닥터 스트레인지: 대혼돈의 멀티버스,50% 이상,500만+,2022-05-09,2022-05-10,2,55.95773381294964,55.48717255431535
닥터 스트레인지: 대혼돈의 멀티버스,40% 이상,500만+,2022-05-11,2022-05-11,1,49.656946826758144,49.656946826758144
닥터 스트레인지: 대혼돈의 멀티버스,50% 이상,500만+,2022-05-12,2022-05-12,1,50.98944591029023,50.98944591029023
닥터 스트레인지: 대혼돈의 멀티버스,40% 이상,500만+,2022-05-13,2022-05-15,3,48.64141622066694,44.34314950960246
닥터 스트레인지: 대혼돈의 멀티버스,50% 이상,500만+,2022-05-16,2022-05-17,2,54.81695568400771,53.16674466070397
범죄도시2,50% 이상,1000만+,2022-05-18,2022-05-31,14,62.274319590406904,57.51257495685691
쥬라기 월드: 도미니언,40% 이상,500만미만,2022-06-01,2022-06-03,3,46.21581513673945,43.67324257528435
쥬라기 월드: 도미니언,40% 이상,500만미만,2022-06-07,2022-06-07,1,40.51959890610757,40.51959890610757
탑건: 매버릭,40% 이상,500만+,2022-06-22,2022-06-22,1,41.9231585650605,41.9231585650605
토르: 러브 앤 썬더,40% 이상,500만미만,2022-07-06,2022-07-08,3,42.97172648887106,41.572890181139456
한산: 용의 출현,40% 이상,500만+,2022-07-27,2022-07-27,1,41.935483870967744,41.935483870967744
공조2: 인터내셔날,40% 이상,500만+,2022-09-07,2022-09-08,2,47.64628244610647,45.649488528442454
공조2: 인터내셔날,40% 이상,500만+,2022-09-11,2022-09-11,1,41.04105823741625,41.04105823741625
공조2: 인터내셔날,40% 이상,500만+,2022-09-13,2022-09-18,6,47.17232202262142,45.102813131963366
공조2: 인터내셔날,50% 이상,500만+,2022-09-19,2022-09-20,2,52.85966238347191,52.752846668520775
공조2: 인터내셔날,40% 이상,500만+,2022-09-26,2022-09-26,1,40.26077700904737,40.26077700904737
블랙 팬서: 와칸다 포에버,50% 이상,500만미만,2022-11-09,2022-11-11,3,55.183727034120736,53.48272984042288
블랙 팬서: 와칸다 포에버,40% 이상,500만미만,2022-11-12,2022-11-13,2,48.88931813791771,48.79669001673449
블랙 팬서: 와칸다 포에버,50% 이상,500만미만,2022-11-14,2022-11-15,2,50.87450808919982,50.826695844686455
