date,movie_count_over_threshold,max_single_share,top_movie,year
2020-02-03,1,30.57149414734909,남산의 부장들,2020
2020-02-04,1,30.581961511708787,남산의 부장들,2020
2020-06-04,1,37.74330900243309,침입자,2020
2020-06-05,1,38.48714069591528,침입자,2020
2020-06-06,1,35.44533887301999,침입자,2020
2020-06-07,1,36.80499050718741,침입자,2020
2020-06-08,1,43.14416637292915,침입자,2020
2020-06-09,1,43.65248226950354,침입자,2020
2020-06-15,1,31.79955877718248,결백,2020
2020-06-16,1,30.510018214936245,결백,2020
2020-06-24,1,40.62576387191395,#살아있다,2020
2020-06-25,1,40.39980256663377,#살아있다,2020
2020-06-26,1,39.16323731138546,#살아있다,2020
2020-06-27,1,40.78006500541712,#살아있다,2020
2020-06-28,1,40.81677222100896,#살아있다,2020
2020-06-29,1,41.37931034482759,#살아있다,2020
2020-06-30,1,40.57863501483679,#살아있다,2020
2020-07-01,1,35.668316831683164,#살아있다,2020
2020-07-02,1,36.3235675395385,#살아있다,2020
2020-07-03,1,35.27112848070347,#살아있다,2020
2020-07-04,1,33.82682817406909,#살아있다,2020
2020-07-05,1,34.128607134742104,#살아있다,2020
2020-07-06,1,34.87273681448439,#살아있다,2020
2020-07-07,1,35.15394912985275,#살아있다,2020
2020-07-15,1,61.737523105360445,반도,2020
2020-07-16,1,60.78886310904872,반도,2020
2020-07-17,1,60.264900662251655,반도,2020
2020-07-18,1,60.276217228464425,반도,2020
2020-07-19,1,59.14804469273744,반도,2020
2020-07-20,1,57.85293364078914,반도,2020
2020-07-21,1,57.660878447395305,반도,2020
2020-07-22,1,47.38124238733252,반도,2020
2020-07-23,1,47.38136218342759,반도,2020
2020-07-24,1,47.933480068476406,반도,2020
2020-07-25,1,47.2478094810155,반도,2020
2020-07-26,1,47.21341187131853,반도,2020
2020-07-27,1,48.54643684075122,반도,2020
2020-07-28,1,49.560269011898605,반도,2020
2020-07-29,1,50.89306977851869,강철비2: 정상회담,2020
2020-07-30,1,52.50699923644694,강철비2: 정상회담,2020
2020-07-31,1,49.7383444338725,강철비2: 정상회담,2020
2020-08-01,1,48.13811780636425,강철비2: 정상회담,2020
2020-08-02,1,48.209366391184574,강철비2: 정상회담,2020
2020-08-03,1,47.66788766788767,강철비2: 정상회담,2020
2020-08-04,1,47.48412310698584,강철비2: 정상회담,2020
2020-08-05,1,41.35524538496173,다만 악에서 구하소서,2020
2020-08-06,1,42.03420342034204,다만 악에서 구하소서,2020
2020-08-07,1,42.04845814977974,다만 악에서 구하소서,2020
2020-08-08,1,42.70143192989956,다만 악에서 구하소서,2020
2020-08-09,1,42.89400129004515,다만 악에서 구하소서,2020
2020-08-10,1,43.36448598130841,다만 악에서 구하소서,2020
2020-08-11,1,43.154968728283535,다만 악에서 구하소서,2020
2020-08-12,1,32.340972370957374,다만 악에서 구하소서,2020
2020-08-13,1,30.958281701776123,다만 악에서 구하소서,2020
2020-08-14,1,31.750560423884245,다만 악에서 구하소서,2020
2020-08-15,1,31.42071133818039,다만 악에서 구하소서,2020
2020-08-16,1,31.99920744997028,다만 악에서 구하소서,2020
2020-08-17,1,30.59120964605212,다만 악에서 구하소서,2020
2020-08-18,1,33.280363223609534,다만 악에서 구하소서,2020
2020-08-19,1,32.275379229871646,다만 악에서 구하소서,2020
2020-08-20,1,30.44762553965008,다만 악에서 구하소서,2020
2020-08-21,1,30.174340634778723,다만 악에서 구하소서,2020
2020-08-24,1,31.072477962781587,다만 악에서 구하소서,2020
2020-08-25,1,31.950729009552536,다만 악에서 구하소서,2020
2020-08-26,1,51.88635305076852,테넷,2020
2020-08-27,1,51.985731272294885,테넷,2020
2020-08-28,1,51.48746779105176,테넷,2020
2020-08-29,1,51.921274601686974,테넷,2020
2020-08-30,1,51.80921052631579,테넷,2020
2020-08-31,1,51.00771336153272,테넷,2020
2020-09-01,1,51.71706817016914,테넷,2020
2020-09-02,1,36.38620004964011,테넷,2020
2020-09-03,1,36.54558932542624,테넷,2020
2020-09-04,1,36.66502946954813,테넷,2020
