movie_nm,days_over_threshold,max_share,avg_share,max_screen_count,max_audience_acc,first_date,last_date
왕과 사는 남자,57,51.76991150442478,37.72597335076906,2262,16161612,2026-02-04,2026-04-07
파묘,34,43.58766233766234,37.98813973779596,2367,10378365,2024-02-22,2024-03-26
서울의 봄,28,48.94977168949772,41.80447234596078,2463,9218898,2023-11-22,2023-12-19
범죄도시2,25,62.2743195904069,46.80579614684087,2521,10733404,2022-05-18,2022-06-14
원더 우먼 1984,22,57.78894472361809,43.41713217529187,2260,516489,2020-12-23,2021-01-13
스파이더맨: 노 웨이 홈,21,65.56647940074907,51.27769176600127,2948,6202428,2021-12-15,2022-01-04
범죄도시4,21,62.18166383701188,50.64454657750831,2980,9936230,2024-04-24,2024-05-14
아바타: 물의 길,21,56.8177028451001,43.67437113853011,2809,8001893,2022-12-14,2023-01-03
공조2: 인터내셔날,21,52.85966238347191,41.70823221176655,2389,5668137,2022-09-07,2022-09-27
인사이드 아웃 2,21,50.74752579490419,39.65377946524866,2619,5804362,2024-06-12,2024-07-02
테넷,20,51.985731272294885,40.81529074075632,2228,1396711,2020-08-26,2020-09-16
소울,19,60.60283687943262,44.625419958648166,2018,1263217,2021-01-20,2021-02-09
다만 악에서 구하소서,19,43.36448598130841,35.569192285036046,1998,4162960,2020-08-05,2020-08-25
베테랑2,18,55.83802024746907,48.69669340723903,2691,6489383,2024-09-13,2024-09-30
승부,18,38.84982420894024,33.78768450198785,1773,1867260,2025-03-26,2025-04-15
주토피아 2,16,43.35091868291796,36.41365490472004,2383,5545945,2025-11-26,2025-12-16
분노의 질주: 더 얼티메이트,15,52.80927835051546,41.49289647049938,2297,1851003,2021-05-19,2021-06-02
반도,14,61.737523105360445,53.785240909304825,2575,3004485,2020-07-15,2020-07-28
이터널스,14,57.91956863626151,47.25249367960708,2648,2547116,2021-11-03,2021-11-16
닥터 스트레인지: 대혼돈의 멀티버스,14,56.976497988566585,49.973453879039006,2691,5057599,2022-05-04,2022-05-17
아바타: 불과 재,14,51.47527910685805,41.73575966330428,2582,4313727,2025-12-17,2025-12-30
베놈 2: 렛 데어 비 카니지,14,48.16450455423682,37.975167799905314,1998,1710840,2021-10-13,2021-10-26
야당,14,47.15359828141783,42.00895604835731,1850,1760866,2025-04-16,2025-04-29
범죄도시3,14,46.058091286307054,43.870042303846155,2582,8046116,2023-05-31,2023-06-13
삼진그룹 영어토익반,14,44.23667317890037,38.2984360707871,1615,1011187,2020-10-21,2020-11-03
007 노 타임 투 다이,14,43.782209276271566,38.304482751846,2201,1066172,2021-09-29,2021-10-12
극장판 귀멸의 칼날: 무한성편,14,42.579210672595885,36.902899304170624,2298,3458516,2025-08-22,2025-09-04
#살아있다,14,41.37931034482759,37.78490860293551,1882,1602183,2020-06-24,2020-07-07
미키 17,14,39.98141263940521,36.01044474199615,2153,2343367,2025-02-28,2025-03-14
샹치와 텐 링즈의 전설,14,35.89509692132269,33.41258432786334,1784,1282102,2021-09-01,2021-09-14
해적: 도깨비 깃발,14,35.66796368352789,33.34459881465367,1708,1122630,2022-01-26,2022-02-08
미션 임파서블: 파이널 레코닝,13,42.513422151521176,40.351104048234575,2385,2101493,2025-05-17,2025-05-29
더 배트맨,12,49.75347377857463,41.51616749103737,2370,754353,2022-03-01,2022-03-15
탑건: 매버릭,12,41.9231585650605,35.57135857527335,1975,3648460,2022-06-22,2022-07-05
도굴,11,45.667870036101085,40.340205651010244,1635,1060213,2020-11-04,2020-11-17
모가디슈,10,34.35323907997468,32.37925774237971,1688,1859936,2021-07-28,2021-08-10
