movie_nm,start_date,end_date,days,max_share,avg_share,max_screen_count,max_audience_acc
왕과 사는 남자,2026-02-15,2026-04-03,48,51.76991150442478,38.45639994377901,2262,15873462
파묘,2024-02-22,2024-03-26,34,43.58766233766234,37.98813973779596,2367,10378365
서울의 봄,2023-11-22,2023-12-19,28,48.94977168949772,41.80447234596079,2463,9218898
원더 우먼 1984,2020-12-23,2021-01-13,22,57.78894472361809,43.41713217529186,2260,516489
스파이더맨: 노 웨이 홈,2021-12-15,2022-01-04,21,65.56647940074907,51.27769176600127,2948,6202428
범죄도시4,2024-04-24,2024-05-14,21,62.18166383701188,50.644546577508315,2980,9936230
아바타: 물의 길,2022-12-14,2023-01-03,21,56.8177028451001,43.67437113853011,2809,8001893
공조2: 인터내셔날,2022-09-07,2022-09-27,21,52.85966238347191,41.70823221176655,2389,5668137
인사이드 아웃 2,2024-06-12,2024-07-02,21,50.74752579490419,39.65377946524866,2619,5804362
베테랑2,2024-09-13,2024-09-30,18,55.83802024746907,48.696693407239025,2691,6489383
다만 악에서 구하소서,2020-08-05,2020-08-21,17,43.36448598130841,36.04655567313827,1998,3974116
승부,2025-03-26,2025-04-10,16,38.84982420894024,33.89387550580094,1773,1502207
소울,2021-01-20,2021-02-03,15,60.60283687943262,48.04611322337409,2018,975818
분노의 질주: 더 얼티메이트,2021-05-19,2021-06-02,15,52.80927835051546,41.49289647049939,2297,1851003
테넷,2020-08-26,2020-09-09,15,51.985731272294885,43.63546184739047,2228,1145029
범죄도시2,2022-05-18,2022-05-31,14,62.2743195904069,57.51257495685691,2521,7013437
반도,2020-07-15,2020-07-28,14,61.737523105360445,53.78524090930482,2575,3004485
이터널스,2021-11-03,2021-11-16,14,57.91956863626151,47.25249367960708,2648,2547116
닥터 스트레인지: 대혼돈의 멀티버스,2022-05-04,2022-05-17,14,56.976497988566585,49.973453879039006,2691,5057599
아바타: 불과 재,2025-12-17,2025-12-30,14,51.47527910685805,41.735759663304286,2582,4313727
베놈 2: 렛 데어 비 카니지,2021-10-13,2021-10-26,14,48.16450455423682,37.975167799905314,1998,1710840
야당,2025-04-16,2025-04-29,14,47.15359828141783,42.00895604835731,1850,1760866
범죄도시3,2023-05-31,2023-06-13,14,46.058091286307054,43.870042303846155,2582,8046116
삼진그룹 영어토익반,2020-10-21,2020-11-03,14,44.23667317890037,38.298436070787105,1615,1011187
007 노 타임 투 다이,2021-09-29,2021-10-12,14,43.782209276271566,38.304482751846,2201,1066172
극장판 귀멸의 칼날: 무한성편,2025-08-22,2025-09-04,14,42.579210672595885,36.902899304170624,2298,3458516
#살아있다,2020-06-24,2020-07-07,14,41.37931034482759,37.7849086029355,1882,1602183
샹치와 텐 링즈의 전설,2021-09-01,2021-09-14,14,35.89509692132269,33.41258432786335,1784,1282102
해적: 도깨비 깃발,2022-01-26,2022-02-08,14,35.66796368352789,33.34459881465367,1708,1122630
미션 임파서블: 파이널 레코닝,2025-05-17,2025-05-29,13,42.513422151521176,40.351104048234575,2385,2101493
미키 17,2025-02-28,2025-03-12,13,39.98141263940521,36.44284884759373,2153,2240995
신비한 동물들과 덤블도어의 비밀,2022-04-13,2022-04-21,9,46.725750861644514,41.46534518149147,2207,582241
캡틴 아메리카: 브레이브 뉴 월드,2025-02-12,2025-02-20,9,35.751713018943974,34.93584100039587,1901,996215
블랙 위도우,2021-07-07,2021-07-14,8,55.23311132254995,48.402395592567984,2528,1627647
블랙 팬서: 와칸다 포에버,2022-11-09,2022-11-16,8,55.183727034120736,48.73061117009587,2571,1286886
더 배트맨,2022-03-01,2022-03-08,8,49.75347377857463,46.79606118846088,2370,547483
미션 임파서블: 데드 레코닝 PART ONE,2023-07-12,2023-07-19,8,47.12328767123288,43.423637044343536,2437,2128004
도굴,2020-11-04,2020-11-11,8,45.667870036101085,43.74562861701767,1635,703599
조제,2020-12-10,2020-12-17,8,35.765673175745114,33.93553844941982,1179,108543
모가디슈,2021-07-28,2021-08-04,8,34.35323907997468,32.82273024363564,1688,1139415
강철비2: 정상회담,2020-07-29,2020-08-04,7,52.50699923644694,49.23398691732292,2137,1240292
쥬라기 월드: 도미니언,2022-06-01,2022-06-07,7,46.21581513673945,40.28961078975914,2218,2226799
주토피아 2,2025-11-26,2025-12-02,7,43.35091868291796,40.028116640707665,2383,2400897
토르: 러브 앤 썬더,2022-07-06,2022-07-12,7,42.97172648887106,38.28217165568906,2143,1953256
한산: 용의 출현,2022-07-27,2022-08-02,7,41.935483870967744,35.84081304746438,2223,2996258
탑건: 매버릭,2022-06-22,2022-06-28,7,41.9231585650605,38.15376865979374,1975,1829356
앤트맨과 와스프: 퀀텀매니아,2023-02-15,2023-02-21,7,40.86499595796281,36.991987117563276,2090,975633
모비우스,2022-03-30,2022-04-05,7,40.58774604934849,38.00887418030936,1696,344019
어쩔수가없다,2025-09-24,2025-09-30,7,40.46707503828484,34.70117235529277,2114,1234237
그대들은 어떻게 살 것인가,2023-10-25,2023-10-31,7,39.72133952578832,36.65959536822398,1733,1063664
왕과 사는 남자,2026-02-04,2026-02-10,7,39.30772878141299,34.89298236365419,1724,1195050
쿵푸팬더4,2024-04-10,2024-04-16,7,38.25525575235888,33.65993735363811,2311,925667
브로커,2022-06-08,2022-06-14,7,38.04295942720764,34.378387189680126,1594,885094
모아나 2,2024-11-27,2024-12-03,7,37.50944822373394,33.86975432513031,1985,1489572
베놈: 라스트 댄스,2024-10-23,2024-10-29,7,36.56680932001903,34.72387894720081,1663,895656
웡카,2024-01-31,2024-02-06,7,33.9311482168625,32.82675541119598,1753,914503
위키드,2024-11-20,2024-11-26,7,33.7648778450616,32.930765972002575,1803,757825
이웃사촌,2020-11-25,2020-12-01,7,33.37961677311858,32.145013833896385,1363,236545
듄,2021-10-20,2021-10-26,7,32.62813522355507,32.17012990182177,1576,440829
침입자,2020-06-04,2020-06-09,6,43.65248226950354,39.21290462016474,1365,340721
뮬란,2020-09-17,2020-09-22,6,39.53229398663697,37.10616081062475,1420,174427
범죄도시2,2022-06-09,2022-06-14,6,35.39823008849557,32.93490798480389,1552,10733404
데드풀과 울버린,2024-07-24,2024-07-29,6,31.082375478927204,30.683271275866616,1948,1178522
군체,2026-05-21,2026-05-25,5,41.60135564499047,38.92414708012977,2110,2018610
범죄도시2,2022-06-03,2022-06-07,5,35.48313582497721,33.47188127324033,1786,9460315
주토피아 2,2025-12-12,2025-12-16,5,35.48057259713702,33.697364570204996,2114,5545945
탑건: 매버릭,2022-07-01,2022-07-05,5,33.557800224466895,31.955984456944805,1622,3648460
싱크홀,2021-08-13,2021-08-17,5,33.101748095024654,31.74362549870013,1603,1221307
위키드: 포 굿,2025-11-19,2025-11-23,5,32.63542066845947,31.153373170729036,1700,537362
하얼빈,2024-12-24,2024-12-27,4,35.36789297658863,33.426424755902595,2125,1677556
테넷,2020-09-13,2020-09-16,4,34.339422822345774,32.907381734472054,1318,1396711
분노의 질주: 라이드 오어 다이,2023-05-17,2023-05-20,4,33.47740667976424,32.20934237973898,1731,613728
밀수,2023-07-26,2023-07-29,4,33.05009736236502,32.21286964475708,1932,1251854
소울,2021-02-06,2021-02-09,4,32.579723940980486,31.79782021592593,1369,1263217
마녀(魔女) Part2. The Other One,2022-06-15,2022-06-18,4,32.360688956433634,31.74265701741509,1796,1098102
파일럿,2024-08-03,2024-08-06,4,32.04138898632059,30.872967487599617,1956,2047286
글래디에이터 Ⅱ,2024-11-13,2024-11-15,3,39.093922651933696,34.10459829541177,1769,187383
노량: 죽음의 바다,2023-12-20,2023-12-22,3,38.53983853983854,36.47296975839976,2196,628658
